code_barre,name,description
1234567890123,Laptop Dell XPS 15,High-performance laptop with 15-inch display, Intel i7 processor, 16GB RAM, 512GB SSD
2345678901234,Wireless Mouse Logitech MX Master 3,Ergonomic wireless mouse with precision tracking and multi-device connectivity
3456789012345,Mechanical Keyboard Keychron K8,Wireless mechanical keyboard with RGB backlighting and hot-swappable switches
4567890123456,USB-C Hub 7-in-1,Multi-port USB-C hub with HDMI, USB 3.0, SD card reader, and power delivery
5678901234567,Monitor LG UltraWide 34,34-inch ultrawide curved monitor with 3440x1440 resolution and USB-C connectivity
6789012345678,Webcam Logitech C920 HD,1080p HD webcam with autofocus and stereo audio
7890123456789,Standing Desk Converter,Adjustable height desk converter for ergonomic workspace setup
8901234567890,Noise Cancelling Headphones Sony WH-1000XM5,Wireless over-ear headphones with industry-leading noise cancellation
9012345678901,External SSD Samsung T7 1TB,Portable SSD with USB 3.2 Gen 2, read speeds up to 1050MB/s
0123456789012,Docking Station Dell WD19,USB-C docking station with dual display support and 90W power delivery
